orig,kr
!검
デュランダル,듀랜달
岩を両断せし剛勇の剣は、人知れず戦士の手を渡り歩き、若き英雄の元へと辿り着いた。,"바위도 양단하는 강용한 검은, 전사의 손을 벗어나 젊은 영웅의 품에 당도했다"
イリアスストライク,일리아스 스트라이크


レーヴァテイン,레바테인
夜明けを告げる光明の霊鳥、それを害さんと魔神が鍛えた常闇の剣。人の手に余る代物。,"여명을 고하는 광명의 광조, 그를 해치려 마신이 단련한 상암의 검. 인간에겐 버거운 일품."
ヴィゾヴニルフランメ,비조프닐 플람


ジュワユース,주와이외즈
勝利の歓びもたらす宝剣は、主によって色を変える。我が勝利いかなる花を咲かせるか。,승리의 기쁨을 가져다주는 보검은 주인에 따라 색깔을 달리한다。나의 승리에 어떠한 꽃을 피울것인가
ローンスヴァール,론스발
風属性ダメージ(特大)/ダブルアタック確率UP,풍속성 데미지(특대) / 더블어택 확률 UP


宝剣アンダリス,보검 안다리스
大賢者アレーティアと数多の戦場をともにした宝剣。柄頭の宝石に目を奪われた一瞬のうちに魔物は殲滅される。,대현자 알레테이아와 수많은 전장을 함께 누빈 보검。손잡이 끝의 보석에 시선을 빼앗긴 순간 마물은 섬멸된다
剣閃,검섬
賢者の加護,현자의 가호
土属性キャラのダメージ上限上昇,토속성 캐릭터의 데미지 상한 상승


ダーインスレイブ,다인슬레이브
古の書物を紐解く名剣は永きにわたり血を吸い続け、いつしか死を振り撒く魔剣へと変貌していた。,"고서를 읽어버린 명검은 오랜 세월동안 피를 머금었고, 어느덧 죽음을 뿌리는 마검으로 변모했다"
ヒャズニングルーン,햐드닝 룬
軍師の気構え,군사의 마음가짐
主人公のみ奥義ゲージ上昇量UP,주인공의 오의 게이지 상승량 UP


マナウィダンブレード,마나위단 블레이드
マナウィダンの洞窟の奥深くに眠っていた剣。研ぎ澄まされた刀身は、切り裂いた者に永遠の沈黙をもたらす。,마나위단의 동굴에 깊숙한 곳에 잠들어 있던 검。베어낸 상대에게 영원한 침묵을 가져다 준다
フルクトゥアト・マーテル,플룩투앗 마텔
水属性ダメージ(特大)/防御DOWN,수속성 데미지(특대) / 방어 DOWN


輝剣クラウ・ソラス,휘검 클라우 솔라스
シャルロッテが騎士団長になった際に授かった剣。身の丈ほどもあるその剣を、シャルロッテは軽々と使いこなす。,샤를로테가 기사단장이 되었을 때 하사받은 검。샤를로테는 자신의 키만한 검을 손쉽게 다룬다
!노블 익스큐션
水属性ダメージ(特大)/オーバードライブ時攻撃力UP,수속성 데미지(특대) / 오버드라이브시 공격력 UP
聖騎士の誇り,성기사의 긍지
水属性キャラの防御UP,수속성 캐릭터의 방어력 UP


七星剣,칠성검
巨大な刀身に埋め込まれた、星を表す七つの輝き。その意匠の意味は失われてしまったが、刃には確かな力が宿っている。,거대한 검면에 박힌 일곱개의 별빛。그것의 의미는 잃어버렸으나 검에는 확실한 힘이 깃들어 있다
北斗大極閃,북두대극섬
光属性ダメージ(特大)/奥義ゲージUP(**%),광속성 데미지(특대) / 오의 게이지 UP(**%)


フロッティ,블롯티
