orig,kr
!범용 아이템 명칭
宝晶石,보정석
カジノメダル,카지노 메달
ルピ,루피


!회복・육성 아이템
エリクシール,엘릭실
APが***回復します。バトル中に使うと奥義ゲージが***増加し、HPが全回復します。,"AP가 *** 회복됩니다. 전투 중에 사용 시<br>오의 게이지가 ***증가, HP가 모두 회복됩니다"
エリクシールハーフ,엘릭실 하프
APが**回復します。,AP가 ** 회복됩니다
ソウルパウダー,소울파우더
BPが*回復します。,BP가 * 회복됩니다
ソウルシード,소울시드
BPが*回復します。,BP가 * 회복됩니다
オレンジジュース,오렌지 주스
APが75回復します。,AP가 75 회복됩니다
飴玉,알사탕
BPが1回復します。,BP가 1 회복됩니다
エネルギーボール,에너지 볼
APが***になります。,AP가 ***가 됩니다
APは***以上回復しません,AP는 ***이상 회복되지 않습니다
プロペラ,프로펠러
BPが**になります。,BP가 **가 됩니다
BPは**以上回復しません,BP는 **이상 회복되지 않습니다
玉鋼,옥강
Sレアまでの武器を上限解放させます,SR 이하의 무기를 상한해방합니다
ヒヒイロカネ,히히이로카네
SSレアの武器を上限解放させます,SSR 무기를 상한해방합니다
ダマスカス鋼,다마스쿠스 강
月光晶,월광정
Sレアまでの召喚石を上限解放させます,SR 이하의 소환석을 상한해방합니다
金剛晶,금강정
SSレアの召喚石を上限解放させます,SSR 소환석을 상한해방합니다
コーデックス,코덱스
レアまでのキャラクターを上限解放させます,R 캐릭터를 상한해방합니다
コーデックス・アニムス,코덱스 아니무스
Sレアまでのキャラクターを上限解放させます,SR 이하의 캐릭터를 상한해방합니다
栄冠の指輪,영관의 반지
覇業の指輪,패업의 반지
キャラクターのEXリミットボーナスを<br>*～*つ解放することができます。,캐릭터의 EX 리미트 보너스를<br>*～*개 해방할 수 있습니다
至極の指輪,지극의 반지
キャラクターのEXリミットボーナスを<br>*つ解放することができます。,캐릭터의 EX 리미트 보너스를<br>*개 해방할 수 있습니다

猛火の耳飾り,맹화의 귀걸이
火属性キャラクターのエーテリアルプラスを<br>*つ解放することができます。,화속성 캐릭터의 에테리얼 플러스를<br>*개 해방할 수 있습니다
流水の耳飾り,유수의 귀걸이
水属性キャラクターのエーテリアルプラスを<br>*つ解放することができます。,수속성 캐릭터의 에테리얼 플러스를<br>*개 해방할 수 있습니다
沃土の耳飾り,비옥의 귀걸이
土属性キャラクターのエーテリアルプラスを<br>*つ解放することができます。,토속성 캐릭터의 에테리얼 플러스를<br>*개 해방할 수 있습니다
烈風の耳飾り,열풍의 귀걸이
風属性キャラクターのエーテリアルプラスを<br>*つ解放することができます。,풍속성 캐릭터의 에테리얼 플러스를<br>*개 해방할 수 있습니다
旭光の耳飾り,욱광의 귀걸이
光属性キャラクターのエーテリアルプラスを<br>*つ解放することができます。,광속성 캐릭터의 에테리얼 플러스를<br>*개 해방할 수 있습니다
黒闇の耳飾り,흑암의 귀걸이
闇属性キャラクターのエーテリアルプラスを<br>*つ解放することができます。,암속성 캐릭터의 에테리얼 플러스를<br>*개 해방할 수 있습니다

碧瑠璃の杯,푸른 유리 잔
武器の経験値が*****上昇します,무기의 경험치가 ***** 상승합니다
緋紅の杯,비홍색 잔
召喚石の経験値が*****上昇します,소환석의 경험치가 ***** 상승합니다
名工の鍛冶台,장인의 모루
ジェム,젬
LBやトレジャーに代わり、リミットボーナスの能力強化や覚醒Lvアップに使用できます。,"LB나 트레저를 대신해, 리미트 보너스의 능력강화 및 각성 Lv 업에 사용할 수 있다"

フェイスペイント用品,페이스 페인트 용품
子供向けスピンブレード,어린이용 스피너
ふかふかの毛皮,푹신푹신한 모피
ハロウィンマカロン,할로윈 마카롱
キャラクターの経験値が***上昇します,캐릭터의 경험치가 *** 상승합니다
思い出のハロウィン衣装,추억의 할로윈 의상
雪降る聖夜のプレゼント,눈 내리는 성야의 선물

バレンタインチョコ,발렌타인 초콜렛
キャラクターの経験値が14上昇します,캐릭터의 경험치가 14 상승합니다
ホワイトデーの贈り物,화이트데이 선물
キャラクターの経験値が14上昇します,캐릭터의 경험치가 14 상승합니다
ラジエルの書・銅,라지엘의 서・동
キャラクターの経験値が****上昇します,캐릭터의 경험치가 **** 상승합니다
ラジエルの書・銀,라지엘의 서・은
キャラクターの経験値が*****上昇します,캐릭터의 경험치가 ***** 상승합니다
ラジエルの書・金,라지엘의 서・금
キャラクターの経験値が******上昇します,캐릭터의 경험치가 ****** 상승합니다


!티켓 아이템
レジェンドガチャチケット,레전드 가챠 티켓
レジェンドガチャが利用できるチケットです。,레전드 가챠를 할 수 있는 티켓입니다
レジェンド10連ガチャチケット,레전드 10연 가챠 티켓
レジェンド10連ガチャが利用できるチケットです。,레전드 10연 가챠를 할 수 있는 티켓입니다
リンクス交換チケット,링크스 교환 티켓
特定の装備やキャラクターと交換できるチケットです。詳細は「リンクス交換チケット」のページからご確認ください。,특정 장비나 캐릭터와 교환할 수 있는 티켓입니다. 상세 내용은 '링크스 교환 티켓' 페이지에서 확인해주세요
SSレア召喚石確定ガチャチケット,SSR 소환석 확정 가챠 티켓
SSレア召喚石が必ず当たるガチャチケット	,SSR 소환석이 반드시 나오는 가챠 티켓
SSレアキャラ武器確定ガチャチケット,SSR 캐릭터 무기 확정 가챠 티켓
